,FunctionPositionID,FunctionPositionName
0,22,ACCOUNTING
1,36,ADMINISTRASI
2,35,ANALYST R&D
3,48,ASST. FOOD & BEVERAGE
4,42,ASST. FOOD AND BEVERAGES MANAGER
5,33,BARISTA
6,2,BOOK KEEPER
7,23,BUILDING MANAGER
8,53,BUSINESS DEVELOPMENT
9,16,CASHIER (F&A)
10,47,CHIEF ACCOUNTING
11,43,CHIEF ACCOUNTING 2
12,52,COOK
13,28,COOK 2
14,55,COST CONTROL
15,59,CREW
16,34,DESIGN GRAPHIC
17,10,DRIVER
18,20,ENGINEERING STAFF
19,38,EXECUTIVE HOUSEKEEPING
20,39,FINANCE & ACCOUNTING
21,56,FITOUT - ARSITEK
22,44,FOOD AND BEVERAGES MANAGER
23,41,FOOD AND BEVERAGES SERVICES
24,58,FRONT DESK AGENT
25,26,GENERAL AFFAIR
26,49,GENERAL CASHIER & ACCOUNT PAYABLE
27,61,GENERAL OPERATION
28,60,general operation 2
29,62,GRAPHIC DESIGN 
30,32,HELPER
31,14,HRD
32,25,IT
33,3,IT ANDROID PROGRAMMER
34,50,IT STAFF
35,24,LEGAL
36,65,LOKASI 
37,17,MAINTENANCE ELECTICIAN
38,46,MANAGER OPERATIONAL
39,40,MARKETING COMMUNICATION
40,6,MARKETING EXECUTIVE
41,21,MARKETING NOMADEN
42,64,MARKETING SOFTWARE
43,15,MARKETING SUPPORT
44,1,NIGHT AUDIT
45,37,PERENCANA PROYEK
46,13,PROJECT OFFICER
47,18,PURCHASING
48,9,RECEPTIONIST
49,11,ROOM ATTENDANT
50,19,SALES BANQUET
51,45,SALES EXECUTIVE
52,51,SALES MARKETING MANAGER
53,54,SEKRETARIS
54,5,SEKRETARIS DIREKSI
55,4,SEKRETARIS LEGAL
56,7,SENIOR ESTIMATOR
57,12,SENIOR HRD
58,29,SPV. RESTO
59,31,STEWARD
60,27,TEACHER
61,57,TENANT RELATION
62,30,WAITER/WAITRESS
63,8,WEB PROGRAMMER
