DepartmentID,DepartmentName
32,accounting gunawangsa hotel manyar surabaya
2,accounting gunawangsa hotel merr
51,accounting warna warni media jakarta
23,accounting warna warni media surabaya
28,administrasi dan general pt jasa bersih indonesia
3,administration and general gunawangsa hotel merr
58,back office pt indokulinari berkah abadi
54,business development warna warni media jakarta
36,business development warna warni media surabaya
62,engineering
7,engineering gunawangsa hotel merr
49,finance accounting warna warni media jakarta
20,finance accounting warna warni media surabaya
35,food and beverage product gunawangsa hotel manyar surabaya
30,food and beverages service gunawangsa hotel merr
33,food beverage service gunawangsa hotel manyar surabaya
59,front office gunawangsa hotel manyar surabaya
1,front office gunawangsa hotel merr
57,front office pt indokulinari berkah abadi
25,general affair gunawangsa group
47,general affair warna warni media jakarta
18,general affair warna warni media surabaya
45,general operation warna warni media jakarta
16,general operation warna warni media surabaya
64,graphic design
6,housekeeping gunawangsa hotel merr
44,hrd warna warni media jakarta
15,hrd warna warni media surabaya
5,human resources gunawangsa hotel merr
61,it
34,it anang karaoke
40,it programmer warna warni media jakarta
9,it programmer warna warni media surabaya
52,it warna warni media jakarta
24,it warna warni media surabaya
48,legal warna warni media jakarta
19,legal warna warni media surabaya
63,lokasi
41,marketing executive warna warni media jakarta
10,marketing executive warna warni media surabaya
22,marketing nomaden pt jasa bersih indonesia
38,marketing pt central investindo
37,marketing pt media inovasi indonesia
46,marketing warna warni media jakarta
17,marketing warna warni media surabaya
13,operasional gunawangsa group
55,operasional warna warni media surabaya
27,operational preschool
26,operational pt aurika damai makmur
53,perencana proyek warna warni media jakarta
29,perencana proyek warna warni media surabaya
56,produksi warna warni media surabaya
42,project officer warna warni media jakarta
11,project officer warna warni media surabaya
50,warna warni media jakarta
21,warna warni media surabaya
31,sales marketing gunawangsa hotel manyar surabaya
4,sales and marketing gunawangsa hotel merr
39,sekretaris warna warni media jakarta
8,sekretaris warna warni media surabaya
60,testdepartment testcompany
43,web programmer warna warni media jakarta
12,web programmer warna warni media surabaya
